"ID";"Description";"GeneRatio";"BgRatio";"RichFactor";"FoldEnrichment";"zScore";"pvalue";"p.adjust";"qvalue";"geneID";"Count"
"GO:0002460";"GO:0002460";"adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains";"149/3897";"396/18805";0.376262626262626;1.81565786165478;8.38728021193733;4.60583225295433e-15;2.89062032195414e-11;2.5210871279329e-11;"ADAM17/ARG1/ARID5A/ATAD5/B2M/BRD2/BRD4/C4A/C4B/CARD9/CCR2/CCR6/CD19/CD226/CD274/CD28/CD46/CD55/CD69/CD70/CD8A/CLEC7A/CLU/CR1/CR1L/CR2/CSF2RB/CTSC/CXCL13/CYRIB/DENND1B/ENTPD7/ERCC1/FBXO38/FCER2/FCGR1A/FCGR2A/FCGR3A/FCMR/FZD5/GATA3/GNL1/HLA-DRA/HLA-DRB1/HLA-F/HLX/HRAS/IGHA1/IGHE/IGHG1/IGHG2/IGHG3/IGHG4/IGHV1-18/IGHV1-3/IGHV1-45/IGHV1-58/IGHV1-69/IGHV1-69-2/IGHV1-69D/IGHV2-26/IGHV2-70/IGHV2-70D/IGHV3-11/IGHV3-15/IGHV3-20/IGHV3-21/IGHV3-23/IGHV3-30/IGHV3-33/IGHV3-38/IGHV3-43/IGHV3-48/IGHV3-53/IGHV3-64/IGHV3-64D/IGHV3-66/IGHV3-7/IGHV3-72/IGHV4-28/IGHV4-31/IGHV4-34/IGHV4-39/IGHV4-4/IGHV4-59/IGHV4-61/IGHV5-10-1/IGHV5-51/IGHV6-1/IGKC/IGLC1/IGLC2/IGLC3/IGLC7/IGLL5/IL1B/IL2RB/IL7R/IRF4/IRF7/JAK2/JUNB/KLHL6/KMT5C/LEF1/LGALS1/MALT1/MAP3K7/MASP2/MEF2C/MICA/MTOR/MYO1G/NBN/NCKAP1L/NFKB2/NFKBIZ/PARP3/PKN1/PRKCQ/PTPRC/RC3H1/RFTN1/RIPK2/RNF168/SEMA4A/SLAMF1/SLAMF6/SLC15A4/SMAD7/STAT4/STX7/SUPT6H/SUSD4/TBX21/TFRC/TGFB1/TLR4/TLR8/TNFSF13/TNFSF13B/TNFSF4/TRAF2/TRPM4/TYK2/UFL1/ULBP2/UNC93B1/ZBTB7B";149
"GO:0030098";"GO:0030098";"lymphocyte differentiation";"157/3897";"432/18805";0.363425925925926;1.75371427688916;8.10287631566852;2.73961447853905e-14;8.59691023365554e-11;7.49789225705425e-11;"ADAM17/AP3B1/AP3D1/ARID2/ARMC5/ATG5/ATM/AXL/B2M/BAD/BAX/BCL11B/BCL2/BMP4/BRD2/BRD4/CAMK4/CCR2/CCR6/CCR7/CD19/CD2/CD28/CD3D/CD46/CD69/CD79A/CD83/CD86/CD8A/CHD7/CLEC4D/CR1/CR2/CTLA4/CTSL/CYLD/DCLRE1C/DDRGK1/DLL1/DNAJB9/DOCK10/DOCK11/DOCK2/EGR1/EGR3/ENTPD7/ERBB2/EZH2/FBXO7/FCRL3/FLT3LG/FNIP1/FOSL2/FZD5/FZD7/FZD8/GATA3/GPR183/GPR89A/GPR89B/GPS2/HDAC5/HHEX/HLA-DRA/HLA-DRB1/HLX/ICOS/ICOSLG/ID2/IFNG/IGHM/IKZF1/IKZF3/IL15/IL1B/IL2RA/IL2RG/IL7/IL7R/IRF1/IRF4/ITGA4/ITK/JAG2/JUNB/KAT2A/KDELR1/LEF1/LFNG/LGALS1/LRRC8A/MALT1/MTOR/NCAPH2/NCKAP1L/NFIL3/NFKBIZ/PAX5/PGLYRP3/PIK3R2/PLCL2/PPP2R3C/PRDM1/PRDX2/PRKDC/PTK2B/PTPN2/PTPRC/PTPRJ/RARA/RASGRP1/RC3H1/RHOH/RIPK2/RNF41/RUNX1/RUNX3/SART1/SEMA4A/SHB/SHH/SLAMF1/SLAMF6/SLC39A7/SLC4A2/SMAD7/SMARCA4/SMARCC2/SMARCD2/SMARCD3/SOS2/SOX12/SOX13/SP3/SRF/ST3GAL1/STAT4/STK11/SYK/TBX21/TCF3/TGFB1/TGFBR2/THEMIS/TMEM131L/TNFSF13B/TNFSF4/TOX/TPD52/VNN1/XBP1/ZAP70/ZBTB7A/ZBTB7B/ZEB1/ZFPM1";157
"GO:0019724";"GO:0019724";"B cell mediated immunity";"88/3897";"208/18805";0.423076923076923;2.04156056927419;7.72281060622258;1.19631357731991e-12;2.04731307797232e-09;1.78558720027105e-09;"ATAD5/C4A/C4B/CARD9/CCR6/CD19/CD226/CD28/CD46/CD55/CD70/CLU/CR1/CR1L/CR2/CSF2RB/ERCC1/FCER2/FCGR1A/FCGR2A/FCGR3A/FCMR/IGHA1/IGHE/IGHG1/IGHG2/IGHG3/IGHG4/IGHV1-18/IGHV1-3/IGHV1-45/IGHV1-58/IGHV1-69/IGHV1-69-2/IGHV1-69D/IGHV2-26/IGHV2-70/IGHV2-70D/IGHV3-11/IGHV3-15/IGHV3-20/IGHV3-21/IGHV3-23/IGHV3-30/IGHV3-33/IGHV3-38/IGHV3-43/IGHV3-48/IGHV3-53/IGHV3-64/IGHV3-64D/IGHV3-66/IGHV3-7/IGHV3-72/IGHV4-28/IGHV4-31/IGHV4-34/IGHV4-39/IGHV4-4/IGHV4-59/IGHV4-61/IGHV5-10-1/IGHV5-51/IGHV6-1/IGKC/IGLC1/IGLC2/IGLC3/IGLC7/IGLL5/IL2RB/IRF7/KMT5C/MASP2/NBN/NFKBIZ/PARP3/PTPRC/RNF168/SLC15A4/SUPT6H/SUSD4/TBX21/TFRC/TGFB1/TLR8/TNFSF13/TNFSF4";88
"GO:0016064";"GO:0016064";"immunoglobulin mediated immune response";"87/3897";"205/18805";0.424390243902439;2.04789800784844;7.71294270508746;1.30485218481346e-12;2.04731307797232e-09;1.78558720027105e-09;"ATAD5/C4A/C4B/CARD9/CCR6/CD19/CD226/CD28/CD46/CD55/CLU/CR1/CR1L/CR2/CSF2RB/ERCC1/FCER2/FCGR1A/FCGR2A/FCGR3A/FCMR/IGHA1/IGHE/IGHG1/IGHG2/IGHG3/IGHG4/IGHV1-18/IGHV1-3/IGHV1-45/IGHV1-58/IGHV1-69/IGHV1-69-2/IGHV1-69D/IGHV2-26/IGHV2-70/IGHV2-70D/IGHV3-11/IGHV3-15/IGHV3-20/IGHV3-21/IGHV3-23/IGHV3-30/IGHV3-33/IGHV3-38/IGHV3-43/IGHV3-48/IGHV3-53/IGHV3-64/IGHV3-64D/IGHV3-66/IGHV3-7/IGHV3-72/IGHV4-28/IGHV4-31/IGHV4-34/IGHV4-39/IGHV4-4/IGHV4-59/IGHV4-61/IGHV5-10-1/IGHV5-51/IGHV6-1/IGKC/IGLC1/IGLC2/IGLC3/IGLC7/IGLL5/IL2RB/IRF7/KMT5C/MASP2/NBN/NFKBIZ/PARP3/PTPRC/RNF168/SLC15A4/SUPT6H/SUSD4/TBX21/TFRC/TGFB1/TLR8/TNFSF13/TNFSF4";87
"GO:0002768";"GO:0002768";"immune response-regulating cell surface receptor signaling pathway";"135/3897";"372/18805";0.362903225806452;1.75119198390822;7.48178175107794;2.01167950726991e-12;2.52506011752519e-09;2.20225967111653e-09;"BAG6/BANK1/BAX/BCAR1/BCL2/BTN3A1/CACNB3/CCR7/CD19/CD226/CD28/CD38/CD3D/CD79A/CD8A/CHUK/CLEC12B/CLEC4D/CLEC7A/CR1/CR2/CTLA4/CYLD/DAB2IP/DENND1B/ECSIT/EIF2B4/ELF1/F2RL1/FCER2/FCGR1A/FCGR2A/FCGR3A/FCMR/FCRL3/FOSL2/FPR1/FPR2/FPR3/FYB1/GATA3/GBP1/GCSAM/GPS2/HLA-DRB1/HRAS/ICOSLG/IFI35/IFNG/IGHA1/IGHE/IGHG1/IGHG2/IGHG3/IGHG4/IGHM/IGKC/IGLC1/IGLC3/IGLC7/IRAK1/IRAK4/IRF3/ITK/KCNN4/KLHL6/KLRC3/KLRK1/LAPTM5/LBP/LCP2/LIMK1/LPXN/LY96/LYN/MALT1/MAP2K4/MAP2K7/MAP3K1/MAP3K7/MAPK8/MEF2C/MFHAS1/MNDA/MYO1G/NCK1/NCKAP1L/NFATC2/NFKB1/NFKBIZ/NR1D1/PDE4B/PDE4D/PELI1/PHPT1/PIK3AP1/PLCL2/PLD2/PLSCR1/PRKCB/PRKCE/PRKCQ/PTPN2/PTPRC/PTPRJ/RAB29/RBCK1/RC3H1/RELA/RFTN1/RIPK2/RNF31/SHB/SKAP1/STAP1/STK11/SYK/TAX1BP1/THEMIS/TLR1/TLR2/TLR4/TLR5/TLR6/TRAC/TRAF3/TRAT1/TRBC1/TRBC2/TRDC/TRGC2/TRIL/TXK/UBR2/ZAP70";135
"GO:0002429";"GO:0002429";"immune response-activating cell surface receptor signaling pathway";"125/3897";"340/18805";0.367647058823529;1.77408338239068;7.36432894415457;4.78203332932914e-12;5.00200686247828e-09;4.36255672149325e-09;"BAG6/BANK1/BAX/BCAR1/BCL2/BTN3A1/CACNB3/CCR7/CD19/CD226/CD28/CD38/CD3D/CD79A/CD8A/CHUK/CLEC7A/CR1/CR2/CTLA4/CYLD/DAB2IP/DENND1B/ECSIT/EIF2B4/ELF1/F2RL1/FCER2/FCMR/FCRL3/FOSL2/FPR1/FPR2/FPR3/FYB1/GATA3/GBP1/GCSAM/GPS2/HLA-DRB1/HRAS/ICOSLG/IFI35/IFNG/IGHA1/IGHE/IGHG1/IGHG2/IGHG3/IGHG4/IGHM/IGKC/IGLC1/IGLC3/IGLC7/IRAK1/IRAK4/IRF3/ITK/KCNN4/KLHL6/KLRC3/KLRK1/LAPTM5/LBP/LCP2/LIMK1/LPXN/LY96/LYN/MALT1/MAP3K7/MEF2C/MFHAS1/MNDA/MYO1G/NCK1/NCKAP1L/NFATC2/NFKB1/NFKBIZ/NR1D1/PDE4B/PDE4D/PELI1/PHPT1/PIK3AP1/PLCL2/PLD2/PLSCR1/PRKCB/PRKCE/PTPN2/PTPRC/PTPRJ/RAB29/RBCK1/RC3H1/RELA/RFTN1/RIPK2/RNF31/SHB/SKAP1/STAP1/STK11/SYK/TAX1BP1/THEMIS/TLR1/TLR2/TLR4/TLR5/TLR6/TRAC/TRAF3/TRAT1/TRBC1/TRBC2/TRDC/TRGC2/TRIL/TXK/UBR2/ZAP70";125
"GO:0002449";"GO:0002449";"lymphocyte mediated immunity";"137/3897";"384/18805";0.356770833333333;1.72160008232829;7.30442807605936;5.76598453423388e-12;5.16961699097883e-09;4.50873978616785e-09;"AP1G1/ARG1/ARID5A/ARL8B/ATAD5/B2M/C4A/C4B/CARD9/CCR2/CCR6/CD19/CD2/CD226/CD274/CD28/CD46/CD55/CD70/CD8A/CD96/CLEC12B/CLU/CR1/CR1L/CR2/CSF2RB/CTSC/CYRIB/DENND1B/ERCC1/FBXO38/FCER2/FCGR1A/FCGR2A/FCGR3A/FCMR/FZD5/GATA3/GFER/GNL1/GZMB/HLA-DRA/HLA-DRB1/HLA-F/IGHA1/IGHE/IGHG1/IGHG2/IGHG3/IGHG4/IGHV1-18/IGHV1-3/IGHV1-45/IGHV1-58/IGHV1-69/IGHV1-69-2/IGHV1-69D/IGHV2-26/IGHV2-70/IGHV2-70D/IGHV3-11/IGHV3-15/IGHV3-20/IGHV3-21/IGHV3-23/IGHV3-30/IGHV3-33/IGHV3-38/IGHV3-43/IGHV3-48/IGHV3-53/IGHV3-64/IGHV3-64D/IGHV3-66/IGHV3-7/IGHV3-72/IGHV4-28/IGHV4-31/IGHV4-34/IGHV4-39/IGHV4-4/IGHV4-59/IGHV4-61/IGHV5-10-1/IGHV5-51/IGHV6-1/IGKC/IGLC1/IGLC2/IGLC3/IGLC7/IGLL5/IL18RAP/IL1B/IL2RB/IL7R/IRF7/KLRB1/KLRC3/KLRK1/KMT5C/LYST/MALT1/MAP3K7/MASP2/MICA/MYO1G/NBN/NCKAP1L/NFKBIZ/NKG7/PARP3/PTPRC/RASGRP1/RFTN1/RNF168/SLAMF1/SLAMF6/SLAMF7/SLC15A4/SMAD7/STX7/SUPT6H/SUSD4/TBX21/TFRC/TGFB1/TIGIT/TLR8/TNFSF13/TNFSF4/TRAF2/TRPM4/UFL1/ULBP2/UNC93B1";137
"GO:0050851";"GO:0050851";"antigen receptor-mediated signaling pathway";"87/3897";"213/18805";0.408450704225352;1.97098165074615;7.28649047170435;1.58248221566867e-11;1.24145729819207e-08;1.08275098966804e-08;"BANK1/BAX/BCAR1/BCL2/BTN3A1/CACNB3/CCR7/CD19/CD226/CD28/CD38/CD3D/CD79A/CD8A/CTLA4/CYLD/DENND1B/EIF2B4/ELF1/FCMR/FCRL3/FOSL2/FYB1/GATA3/GBP1/GCSAM/GPS2/HLA-DRB1/HRAS/ICOSLG/IGHA1/IGHE/IGHG1/IGHG2/IGHG3/IGHG4/IGHM/IGKC/IGLC1/IGLC3/IGLC7/ITK/KCNN4/KLHL6/LAPTM5/LCP2/LPXN/LYN/MALT1/MAP3K7/MEF2C/MNDA/NCK1/NCKAP1L/NFATC2/NFKB1/NFKBIZ/PDE4B/PDE4D/PHPT1/PLCL2/PRKCB/PTPN2/PTPRC/PTPRJ/RAB29/RBCK1/RC3H1/RELA/RFTN1/RIPK2/RNF31/SHB/SKAP1/STAP1/STK11/SYK/THEMIS/TRAC/TRAT1/TRBC1/TRBC2/TRDC/TRGC2/TXK/UBR2/ZAP70";87
"GO:0030217";"GO:0030217";"T cell differentiation";"117/3897";"324/18805";0.361111111111111;1.74254412225929;6.89306967575415;8.50441524991054e-11;5.93041223427095e-08;5.17227594146606e-08;"ADAM17/AP3B1/AP3D1/ARID2/ARMC5/ATG5/B2M/BAD/BCL11B/BCL2/BMP4/BRD2/BRD4/CAMK4/CCR2/CCR6/CCR7/CD2/CD28/CD3D/CD46/CD69/CD83/CD86/CD8A/CHD7/CLEC4D/CR1/CTLA4/CTSL/CYLD/DOCK2/EGR1/EGR3/ENTPD7/ERBB2/FOSL2/FZD5/FZD7/FZD8/GATA3/GPR183/GPR89A/GPR89B/HLA-DRA/HLA-DRB1/HLX/ICOS/ICOSLG/IFNG/IKZF3/IL15/IL1B/IL2RA/IL2RG/IL7/IL7R/IRF1/IRF4/ITK/JAG2/JUNB/KAT2A/KDELR1/LEF1/LFNG/LGALS1/MALT1/MTOR/NCAPH2/NCKAP1L/NFKBIZ/PIK3R2/PRDM1/PRDX2/PRKDC/PTPN2/PTPRC/RARA/RASGRP1/RC3H1/RHOH/RIPK2/RUNX1/RUNX3/SART1/SEMA4A/SHB/SHH/SLAMF6/SLC4A2/SMAD7/SMARCA4/SMARCC2/SMARCD2/SMARCD3/SOS2/SOX12/SOX13/SP3/SRF/STAT4/STK11/SYK/TBX21/TGFB1/TGFBR2/THEMIS/TMEM131L/TNFSF4/TOX/VNN1/XBP1/ZAP70/ZBTB7B/ZEB1/ZFPM1";117
"GO:0002443";"GO:0002443";"leukocyte mediated immunity";"158/3897";"483/18805";0.32712215320911;1.57853017477478;6.58557611687439;3.08698738346432e-10;1.93739328186221e-07;1.68971940989626e-07;"ADAM17/ADGRE2/AP1G1/ARG1/ARID5A/ARL8B/ATAD5/B2M/C4A/C4B/CARD9/CCR2/CCR6/CD19/CD2/CD226/CD274/CD28/CD46/CD55/CD70/CD84/CD8A/CD96/CLEC12B/CLEC7A/CLU/CR1/CR1L/CR2/CSF2RB/CTSC/CXCL6/CYRIB/DENND1B/DNASE1L3/ERCC1/F2RL1/FBXO38/FCER2/FCGR1A/FCGR2A/FCGR3A/FCMR/FES/FZD5/GAB2/GATA3/GFER/GNL1/GZMB/HLA-DRA/HLA-DRB1/HLA-F/IGHA1/IGHE/IGHG1/IGHG2/IGHG3/IGHG4/IGHV1-18/IGHV1-3/IGHV1-45/IGHV1-58/IGHV1-69/IGHV1-69-2/IGHV1-69D/IGHV2-26/IGHV2-70/IGHV2-70D/IGHV3-11/IGHV3-15/IGHV3-20/IGHV3-21/IGHV3-23/IGHV3-30/IGHV3-33/IGHV3-38/IGHV3-43/IGHV3-48/IGHV3-53/IGHV3-64/IGHV3-64D/IGHV3-66/IGHV3-7/IGHV3-72/IGHV4-28/IGHV4-31/IGHV4-34/IGHV4-39/IGHV4-4/IGHV4-59/IGHV4-61/IGHV5-10-1/IGHV5-51/IGHV6-1/IGKC/IGLC1/IGLC2/IGLC3/IGLC7/IGLL5/IL18RAP/IL1B/IL2RB/IL7R/IRAK4/IRF7/KLRB1/KLRC3/KLRK1/KMT5C/LYN/LYST/MALT1/MAP3K7/MASP2/MICA/MYO1G/NBN/NCKAP1L/NFKBIZ/NKG7/PARP3/PIK3CG/PTPRC/RASGRP1/RFTN1/RNF168/S100A13/SLAMF1/SLAMF6/SLAMF7/SLC15A4/SMAD7/SPHK2/STAP1/STX4/STX7/SUPT6H/SUSD4/SYK/TBX21/TFRC/TGFB1/TIGIT/TLR4/TLR8/TNFSF13/TNFSF4/TRAF2/TREM1/TRPM4/UFL1/ULBP2/UNC93B1/VAMP2/VAMP8";158
